,name,categories,review_count,rating,address,zipcode,city,coordinates,phone,transactions
0,Thomas J O'Connor Animal Control and Adoption Center,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",10,3.5,"['627 Cottage St', 'Springfield, MA 01104']",01104,Springfield,"{'latitude': 42.1417438090943, 'longitude': -72.5294950627114}",(413) 781-1484,[]
1,Sadie Mae Foundation,"[{'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}, {'alias': 'animalshelters', 'title': 'Animal Shelters'}]",1,5.0,"['Manchester, CT 06043']",06043,Manchester,"{'latitude': 41.77123, 'longitude': -72.44}",(860) 865-0492,[]
2,Dakin Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'pet_training', 'title': 'Pet Training'}]",11,3.5,"['171 Union St', 'Springfield, MA 01105']",01105,Springfield,"{'latitude': 42.099955870892, 'longitude': -72.5830566671781}",(413) 781-4000,[]
3,Pecks Puppies,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petbreeders', 'title': 'Pet Breeders'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",2,3.0,"['46 Edgewood Rd', 'Berlin, CT 06037']",06037,Berlin,"{'latitude': 41.60007, 'longitude': -72.81772}",(860) 930-4001,[]
4,Paws Finding Peace,"[{'alias': 'vet', 'title': 'Veterinarians'}]",1,5.0,"['Holyoke, MA 01041']",01041,Holyoke,"{'latitude': 42.2081539, 'longitude': -72.609653}",(413) 327-5077,[]
5,Dog Star Rescue,"[{'alias': 'petadoption', 'title': 'Pet Adoption'}]",5,3.5,"['12 Tobey Rd', 'Bloomfield, CT 06002']",06002,Bloomfield,"{'latitude': 41.809286, 'longitude': -72.710153}",(860) 461-0848,[]
6,Westfield Homeless Cat Project,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",14,2.0,"['1124 E Mountain Rd', 'Westfield, MA 01085']",01085,Westfield,"{'latitude': 42.146053, 'longitude': -72.700401}",(413) 568-6964,[]
7,Connecticut Cat Connection,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",7,5.0,"['40 Stevens Mill Rd', 'Windsor, CT 06095']",06095,Windsor,"{'latitude': 41.919174, 'longitude': -72.702979}",(860) 219-9396,[]
8,"Animal Alliances, LLC","[{'alias': 'pet_training', 'title': 'Pet Training'}]",5,5.0,"['137-E Damon Rd', 'Northampton, MA 01060']",01060,Northampton,"{'latitude': 42.3384, 'longitude': -72.63091}",(413) 585-5868,[]
9,The Dog House,"[{'alias': 'petstore', 'title': 'Pet Stores'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}, {'alias': 'petboarding', 'title': 'Pet Boarding'}]",33,2.0,"['120 Hale Rd', 'Manchester, CT 06040']",06040,Manchester,"{'latitude': 41.809171, 'longitude': -72.530485}",(860) 648-1514,[]
10,VCA Shaker Road Animal Hospital,"[{'alias': 'vet', 'title': 'Veterinarians'}, {'alias': 'groomer', 'title': 'Pet Groomers'}]",3,5.0,"['108 Shaker Rd', 'East Longmeadow, MA 01028']",01028,East Longmeadow,"{'latitude': 42.05969000355006, 'longitude': -72.51513601500125}",(413) 525-6671,[]
11,Paw Street Barkery,"[{'alias': 'petstore', 'title': 'Pet Stores'}]",5,4.0,"['1519 Memorial Dr', 'Chicopee, MA 01020']",01020,Chicopee,"{'latitude': 42.19886, 'longitude': -72.57291}",(413) 437-8014,[]
12,Animal City,"[{'alias': 'petstore', 'title': 'Pet Stores'}]",19,3.5,"['35 Talcottville Rd', 'Vernon Rockville, CT 06066']",06066,Vernon Rockville,"{'latitude': 41.827045, 'longitude': -72.497535}",(860) 872-3574,[]
13,Florence Animal Clinic,"[{'alias': 'vet', 'title': 'Veterinarians'}]",3,3.5,"['185 Locust St', 'Northampton, MA 01060']",01060,Northampton,"{'latitude': 42.334, 'longitude': -72.66106}",(413) 584-9477,[]
14,Roaring Brook Kennels,"[{'alias': 'pet_sitting', 'title': 'Pet Sitting'}, {'alias': 'pet_training', 'title': 'Pet Training'}, {'alias': 'groomer', 'title': 'Pet Groomers'}]",7,4.0,"['56 Lovely Blvd', 'Canton, CT 06019']",06019,Canton,"{'latitude': 41.817439, 'longitude': -72.888794}",(860) 693-0603,[]
15,Behavior Unleashed,"[{'alias': 'pet_training', 'title': 'Pet Training'}]",1,5.0,"['Simsbury, CT 06070']",06070,Simsbury,"{'latitude': 41.8775067, 'longitude': -72.7924612}",(860) 682-2313,[]
16,Backyards to Barnyards Pet Sitting Services,"[{'alias': 'dogwalkers', 'title': 'Dog Walkers'}, {'alias': 'pet_sitting', 'title': 'Pet Sitting'}]",1,5.0,"['443 Pine Hill Rd', 'Moosup, CT 06354']",06354,Moosup,"{'latitude': 41.66708, 'longitude': -71.82168}",(401) 654-1396,[]
17,Dakin Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",6,4.5,"['163 Montague Rd', 'Leverett, MA 01054']",01054,Leverett,"{'latitude': 42.47547, 'longitude': -72.49787}",(413) 548-9898,[]
21,Windham County Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}, {'alias': 'petservices', 'title': 'Pet Services'}]",1,5.0,"['916 West River Rd', 'Brattleboro, VT 05301']",05301,Brattleboro,"{'latitude': 42.885714, 'longitude': -72.589464}",(802) 254-2232,[]
22,Sterling Animal Shelter,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'vet', 'title': 'Veterinarians'}]",18,4.5,"['17 Laurelwood Rd', 'Sterling, MA 01564']",01564,Sterling,"{'latitude': 42.445846, 'longitude': -71.752807}",(978) 422-8585,[]
23,Nashoba Valley Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",1,5.0,"['505 Center Bridge Rd', 'Lancaster, MA 01523']",01523,Lancaster,"{'latitude': 42.44454, 'longitude': -71.66724}",(978) 365-9470,[]
24,Worc Animal Rescue League,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",7,5.0,"['139 Holden St', 'Worcester, MA 01606']",01606,Worcester,"{'latitude': 42.31029622059917, 'longitude': -71.81971023792704}",(508) 853-0030,[]
26,For The Love of Paws RI,"[{'alias': 'petadoption', 'title': 'Pet Adoption'}, {'alias': 'pettransport', 'title': 'Pet Transportation'}]",2,5.0,"['Cranston, RI 02920']",02920,Cranston,"{'latitude': 41.7633666992188, 'longitude': -71.462028503418}",(401) 316-4865,[]
27,Second Chance Animal Shelter,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",27,3.5,"['111 Young Rd', 'East Brookfield, MA 01515']",01515,East Brookfield,"{'latitude': 42.223636, 'longitude': -72.037582}",(508) 867-5525,[]
31,Sonsini Animal Shelter,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",3,3.5,"['875 Crane Ave', 'Pittsfield, MA 01201']",01201,Pittsfield,"{'latitude': 42.469009, 'longitude': -73.20877}",(413) 448-9800,[]
32,ahimsa haven,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",3,2.5,"['Central St', 'Winchendon, MA 01475']",01475,Winchendon,"{'latitude': 42.6847022696718, 'longitude': -72.0457758592222}",(978) 939-8464,[]
37,Waggin' Tails Pet Care Services,"[{'alias': 'dogwalkers', 'title': 'Dog Walkers'}, {'alias': 'pet_sitting', 'title': 'Pet Sitting'}, {'alias': 'vet', 'title': 'Veterinarians'}]",2,5.0,"['Ashburnham, MA 01430']",01430,Ashburnham,"{'latitude': 42.63282, 'longitude': -71.90973}",(978) 828-8760,[]
38,Dog Orphans,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",3,2.5,"['90 Webster St', 'Douglas, MA 01516']",01516,Douglas,"{'latitude': 42.05315, 'longitude': -71.75558}",(508) 476-1855,[]
39,East Coast Canine Rescue,"[{'alias': 'petadoption', 'title': 'Pet Adoption'}, {'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}]",17,3.5,"['Pomfret, CT 06259']",06259,Pomfret,"{'latitude': 41.8959709121267, 'longitude': -71.9610665777753}",(508) 341-7189,[]
41,Monadnock Humane Society Shelter,"[{'alias': 'petstore', 'title': 'Pet Stores'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}, {'alias': 'pet_sitting', 'title': 'Pet Sitting'}]",7,3.5,"['101 W Swanzey Rd', 'Swanzey, NH 03446']",03446,Swanzey,"{'latitude': 42.90683, 'longitude': -72.2996}",(603) 352-9011,[]
43,Paws Cat Shelter,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}, {'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}]",5,3.5,"['240 Rte 171', 'Woodstock, CT 06281']",06281,Woodstock,"{'latitude': 41.933166, 'longitude': -71.955677}",(860) 315-1228,[]
44,Pat Brody Shelter for Cats,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",20,3.5,"['479 Northfield Rd', 'Lunenburg, MA 01462']",01462,Lunenburg,"{'latitude': 42.61012, 'longitude': -71.73273}",(978) 582-6116,[]
46,Community Cat Connection,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",8,3.5,"['289 Thompson Rd', 'Webster, MA 01570']",01570,Webster,"{'latitude': 42.0331869, 'longitude': -71.8552284}",(508) 949-0779,[]
47,The Boxer Rescue,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",2,3.0,"['Grafton, MA 01519']",01519,Grafton,"{'latitude': 42.1992752566798, 'longitude': -71.6885375976562}",(800) 471-2030,[]
50,Furry Angels Dachshund Rescue,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}]",1,1.0,"['Foster, RI 02825']",02825,Foster,"{'latitude': 41.79754, 'longitude': -71.72652}",(401) 392-3585,[]
51,VCA Lancaster Animal Hospital,"[{'alias': 'vet', 'title': 'Veterinarians'}, {'alias': 'pet_sitting', 'title': 'Pet Sitting'}]",26,3.5,"['456 High St', 'Ste A', 'Lancaster, MA 01523']",01523,Lancaster,"{'latitude': 42.4455122376623, 'longitude': -71.6655710994141}",(978) 368-8363,[]
53,The Perfect Puppy,"[{'alias': 'petstore', 'title': 'Pet Stores'}]",19,2.0,"['1265 Chopmist Hill Rd', 'Scituate, RI 02857']",02857,Scituate,"{'latitude': 41.8209457397461, 'longitude': -71.6676254272461}",(401) 764-0749,[]
54,Mighty Clean Mutt,"[{'alias': 'groomer', 'title': 'Pet Groomers'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",6,4.0,"['52 French King Hwy', 'Greenfield, MA 01301']",01301,Greenfield,"{'latitude': 42.606602, 'longitude': -72.577423}",(413) 772-9367,[]
55,Dog Proof Photography,"[{'alias': 'petphotography', 'title': 'Pet Photography'}]",5,5.0,"['Clinton, MA 01510']",01510,Clinton,"{'latitude': 42.4173812866211, 'longitude': -71.685417175293}",(978) 612-6570,[]
56,VCA Sterling Animal Hospital,"[{'alias': 'vet', 'title': 'Veterinarians'}]",9,4.0,"['4 Clinton Road', 'Sterling, MA 01564']",01564,Sterling,"{'latitude': 42.4381054533218, 'longitude': -71.755044311285}",(978) 422-6262,[]
89,Berkshire Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'pet_training', 'title': 'Pet Training'}]",5,2.5,"['214 Barker Rd', 'Pittsfield, MA 01201']",01201,Pittsfield,"{'latitude': 42.43874, 'longitude': -73.277362}",(413) 447-7878,[]
95,The Little Guild,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",9,3.0,"['285 Sharon Goshen Tpke', 'West Cornwall, CT 06796']",06796,West Cornwall,"{'latitude': 41.874501, 'longitude': -73.340093}",(860) 672-6346,[]
107,Animal Rescue League of New Hampshire,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",5,4.5,"['545 Rt 101', 'Bedford, NH 03110']",03110,Bedford,"{'latitude': 42.90873, 'longitude': -71.56843}",(603) 472-3647,[]
108,Buddy Dog Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",51,4.0,"['151 Boston Post Rd', 'Sudbury, MA 01776']",01776,Sudbury,"{'latitude': 42.36168, 'longitude': -71.39682}",(978) 443-6990,[]
113,Forever Home Rescue New England,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",17,4.5,"['106 Adams St', 'Medfield, MA 02052']",02052,Medfield,"{'latitude': 42.1967812, 'longitude': -71.3239288}",(508) 359-4465,[]
114,Guardian Angels Cat Rescue,"[{'alias': 'petadoption', 'title': 'Pet Adoption'}, {'alias': 'animalshelters', 'title': 'Animal Shelters'}]",7,5.0,"['Wayland, MA 01778']",01778,Wayland,"{'latitude': 42.3632011413574, 'longitude': -71.3603134155273}",(781) 237-8405,[]
115,Just A Touch Rescue,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",3,5.0,"['Albion, RI 02802']",02802,Albion,"{'latitude': 41.9524078369141, 'longitude': -71.4565200805664}",,[]
116,Baypath Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",32,4.0,"['5 Rafferty Rd', 'Hopkinton, MA 01748']",01748,Hopkinton,"{'latitude': 42.2464616596699, 'longitude': -71.5265415608883}",,[]
119,Pawfect Life Rescue,"[{'alias': 'petservices', 'title': 'Pet Services'}, {'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}]",12,3.5,"['Uxbridge, MA 01569']",01569,Uxbridge,"{'latitude': 42.0772429, 'longitude': -71.6302532}",(508) 854-3790,[]
121,Cumberland Animal Control Martin,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",2,4.5,"['44 Martin St', 'Cumberland, RI 02864']",02864,Cumberland,"{'latitude': 41.9272498, 'longitude': -71.4281141}",(401) 333-2745,[]
123,Lincoln Animal Shelter,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",4,3.0,"['25 Wellington Rd', 'Lincoln, RI 02865']",02865,Lincoln,"{'latitude': 41.9203265011311, 'longitude': -71.4773780107498}",(401) 333-0950,[]
124,Animal Rescue Network of New England,"[{'alias': 'petadoption', 'title': 'Pet Adoption'}]",4,3.0,"['Pelham, NH 03076']",03076,Pelham,"{'latitude': 42.73019, 'longitude': -71.322}",(603) 233-4801,[]
125,Happy Dogs of New England,"[{'alias': 'petadoption', 'title': 'Pet Adoption'}]",9,3.5,"['Manchester, NH 03101']",03101,Manchester,"{'latitude': 42.99080276489258, 'longitude': -71.4638671875}",,[]
126,Friends of Homeless Animals,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",46,3.5,"['Providence, RI 02918']",02918,Providence,"{'latitude': 41.84311, 'longitude': -71.44044}",(401) 234-4499,[]
127,Lowell Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petservices', 'title': 'Pet Services'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",14,3.5,"['951 Broadway St', 'Lowell, MA 01854']",01854,Lowell,"{'latitude': 42.64116, 'longitude': -71.33779}",(978) 452-7781,[]
129,Manchester Animal Shelter,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",8,3.5,"['490 Dunbarton Rd', 'Manchester, NH 03102']",03102,Manchester,"{'latitude': 43.0159151495325, 'longitude': -71.4900923842853}",(603) 628-3544,[]
130,Save A Dog,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",41,3.0,"['604 Boston Post Rd', 'Sudbury, MA 01776']",01776,Sudbury,"{'latitude': 42.36094, 'longitude': -71.43742}",(978) 443-7282,[]
131,Humane Society For Greater Nashua,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",19,3.0,"['24 Ferry Rd', 'Nashua, NH 03064']",03064,Nashua,"{'latitude': 42.7811, 'longitude': -71.4882}",(603) 889-2275,[]
133,Metrowest Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",14,2.5,"['30 Pond St', 'Ashland, MA 01721']",01721,Ashland,"{'latitude': 42.2577018737793, 'longitude': -71.4250946044922}",(508) 875-3776,[]
135,Maple Farm Sanctuary,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",7,5.0,"['101 N Ave', 'Mendon, MA 01756']",01756,Mendon,"{'latitude': 42.123545, 'longitude': -71.566764}",(508) 473-7539,[]
137,Medfield Animal Shelter,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",7,3.5,"['101 Old Bridge St', 'Medfield, MA 02052']",02052,Medfield,"{'latitude': 42.1905697903332, 'longitude': -71.3336159661412}",(508) 359-8989,[]
139,CARMAH,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",4,4.0,"['Hudson, MA 01749']",01749,Hudson,"{'latitude': 42.3943972, 'longitude': -71.5964922}",(508) 460-2022,[]
140,Pawtucket Animal Shelter,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",5,3.5,"['401 Newport Ave', 'Pawtucket, RI 02861']",02861,Pawtucket,"{'latitude': 41.8690687, 'longitude': -71.3542032}",(401) 729-7496,[]
141,Yankee Golden Retriever Rescue Inc,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",3,2.5,"['110 Chapin Rd', 'Hudson, MA 01749']",01749,Hudson,"{'latitude': 42.3893848, 'longitude': -71.560526}",(978) 568-9700,[]
142,Milford Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",6,3.0,"['289 West St', 'Milford, MA 01757']",01757,Milford,"{'latitude': 42.15061, 'longitude': -71.55552}",(508) 473-7008,[]
143,Oak Rise Farm,"[{'alias': 'horse_boarding', 'title': 'Horse Boarding'}, {'alias': 'animalshelters', 'title': 'Animal Shelters'}]",1,5.0,"['371 Shirley Hill Rd', 'Goffstown, NH 03045']",03045,Goffstown,"{'latitude': 42.987963, 'longitude': -71.5421857}",(603) 656-9730,[]
144,Providence Animal Rescue League,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",26,3.5,"['34 Elbow St', 'Providence, RI 02903']",02903,Providence,"{'latitude': 41.8173446655273, 'longitude': -71.4104385375977}",(401) 421-1399,[]
148,Darbster Kitty,"[{'alias': 'petadoption', 'title': 'Pet Adoption'}, {'alias': 'petboarding', 'title': 'Pet Boarding'}]",10,4.0,"['332 Kelley St', 'Manchester, NH 03102']",03102,Manchester,"{'latitude': 42.99496, 'longitude': -71.484359}",(603) 856-9233,[]
149,Boxer Buddies Rescue,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",1,5.0,"['Bellingham, MA 02019']",02019,Bellingham,"{'latitude': 42.068411, 'longitude': -71.476494}",(508) 657-8348,[]
169,Ct Audubon Center At Glastonbury,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",2,5.0,"['1361 Main St', 'Glastonbury, CT 06033']",06033,Glastonbury,"{'latitude': 41.681997, 'longitude': -72.600379}",(860) 633-8402,[]
170,Connecticut Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'vet', 'title': 'Veterinarians'}]",30,3.5,"['701 Russell Rd', 'Newington, CT 06111']",06111,Newington,"{'latitude': 41.700678, 'longitude': -72.706654}",(800) 452-0114,[]
172,Protectors of Animals,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",16,4.5,"['144 Main St', 'East Hartford, CT 06118']",06118,East Hartford,"{'latitude': 41.73418, 'longitude': -72.62567}",(860) 569-0722,[]
176,Animal Friends of Connecticut,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",3,3.5,"['West Hartford, CT 06053']",06053,West Hartford,"{'latitude': 41.68811, 'longitude': -72.79066}",(860) 489-4901,[]
179,For The Love of Dogs,"[{'alias': 'dogwalkers', 'title': 'Dog Walkers'}, {'alias': 'pet_sitting', 'title': 'Pet Sitting'}]",2,5.0,"['52 Mikayla Ln', 'Prospect, CT 06712']",06712,Prospect,"{'latitude': 41.5249596, 'longitude': -72.9645386}",(203) 996-8068,[]
180,Fur-Gotten Tails Animal Rescue,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",2,1.0,"['Plainville, CT 06062']",06062,Plainville,"{'latitude': 41.67498, 'longitude': -72.85505}",(860) 308-0899,[]
181,Mohawk Hudson Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}, {'alias': 'petadoption', 'title': 'Pet Adoption'}]",20,3.0,"['3 Oakland Ave', 'Albany, NY 12204']",12204,Albany,"{'latitude': 42.6892093, 'longitude': -73.7238381}",(518) 434-8128,[]
183,Columbia-Greene Humane Society,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'nonprofit', 'title': 'Community Service/Non-Profit'}, {'alias': 'pet_sitting', 'title': 'Pet Sitting'}]",11,2.5,"['125 Humane Society Rd', 'Hudson, NY 12534']",12534,Hudson,"{'latitude': 42.26507, 'longitude': -73.75104}",(518) 828-6044,[]
186,Animal Protective Foundation,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}, {'alias': 'pet_training', 'title': 'Pet Training'}]",8,3.0,"['53 Maple Ave', 'Glenville, NY 12302']",12302,Glenville,"{'latitude': 42.84214128981652, 'longitude': -73.92810586271999}",(518) 374-3944,[]
188,Wolcott Dog Pound,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}]",7,1.5,"['775 Bound Line Rd', 'Wolcott, CT 06716']",06716,Wolcott,"{'latitude': 41.621665, 'longitude': -72.9799}",(203) 879-7620,[]
189,Capital District Humane Assoc,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",3,2.5,"['Albany, NY 12211']",12211,Albany,"{'latitude': 42.69773, 'longitude': -73.76051}",(518) 664-1237,[]
192,All Pets Club,"[{'alias': 'petstore', 'title': 'Pet Stores'}]",11,2.0,"['405 Queen St', 'Southington, CT 06489']",06489,Southington,"{'latitude': 41.6279182, 'longitude': -72.8728714}",(860) 621-4664,[]
194,Animal Rescue Foundation,"[{'alias': 'animalshelters', 'title': 'Animal Shelters'}, {'alias': 'petstore', 'title': 'Pet Stores'}]",11,1.5,"['366 Main St', 'Terryville, CT 06786']",06786,Terryville,"{'latitude': 41.6787257, 'longitude': -73.0239512}",(860) 583-3089,[]
